Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,create_date,version
SRR2584785,WGS,36,247471776,PRJNA295606,SAMN04096236,"Microbe\, viral or environmental",193185578,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1317313,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL2177A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL2177A,DNA,SRP064605,REL2177A,2015-10-08T12:47:00Z,1
SRR2584813,WGS,36,352916424,PRJNA295606,SAMN04096241,"Microbe\, viral or environmental",257769006,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1317341,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL7187B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL7187B,DNA,SRP064605,REL7187B,2015-10-08T12:49:00Z,1
SRR2584814,WGS,36,344060928,PRJNA295606,SAMN04096242,"Microbe\, viral or environmental",252520880,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1317342,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL8604A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL8604A,DNA,SRP064605,REL8604A,2015-10-08T12:49:00Z,1
SRR2584815,WGS,36,224071704,PRJNA295606,SAMN04096243,"Microbe\, viral or environmental",171390689,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1317343,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL8604B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL8604B,DNA,SRP064605,REL8604B,2015-10-08T12:49:00Z,1
SRR2584816,WGS,36,263816064,PRJNA295606,SAMN04096244,"Microbe\, viral or environmental",200560342,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1317344,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL10432,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL10432,DNA,SRP064605,REL10432,2015-10-08T12:49:00Z,1
SRR2584820,WGS,36,272981808,PRJNA295606,SAMN04096245,"Microbe\, viral or environmental",210263349,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1317347,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL10433,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL10433,DNA,SRP064605,REL10433,2015-10-08T12:51:00Z,1
SRR2584821,WGS,50,2867689170,PRJNA295606,SAMN04096246,"Microbe\, viral or environmental",1793771712,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1317348,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11367,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11367,DNA,SRP064605,REL11367,2015-10-08T13:06:00Z,1
SRR2584823,WGS,36,377374968,PRJNA295606,SAMN04096248,"Microbe\, viral or environmental",281901245,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1317350,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL773A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL773A,DNA,SRP064605,REL773A,2015-10-08T12:50:00Z,1
SRR2584824,WGS,36,343536192,PRJNA295606,SAMN04096249,"Microbe\, viral or environmental",260242944,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1317351,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL773B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL773B,DNA,SRP064605,REL773B,2015-10-08T12:51:00Z,1
SRR2584825,WGS,36,374197608,PRJNA295606,SAMN04096250,"Microbe\, viral or environmental",283380400,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1317352,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL963A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL963A,DNA,SRP064605,REL963A,2015-10-08T12:51:00Z,1
SRR2584826,WGS,36,384111792,PRJNA295606,SAMN04096251,"Microbe\, viral or environmental",289221770,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1317353,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL963B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL963B,DNA,SRP064605,REL963B,2015-10-08T12:52:00Z,1
SRR2584832,WGS,36,403680132,PRJNA295606,SAMN04096256,"Microbe\, viral or environmental",302816577,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1317359,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL2178A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL2178A,DNA,SRP064605,REL2178A,2015-10-08T12:55:00Z,1
SRR2584833,WGS,36,317239920,PRJNA295606,SAMN04096257,"Microbe\, viral or environmental",236243979,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1317360,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL2178B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL2178B,DNA,SRP064605,REL2178B,2015-10-08T12:53:00Z,1
SRR2584834,WGS,36,326957472,PRJNA295606,SAMN04096258,"Microbe\, viral or environmental",240783002,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1317361,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL4535A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL4535A,DNA,SRP064605,REL4535A,2015-10-08T12:54:00Z,1
SRR2584835,WGS,36,380394396,PRJNA295606,SAMN04096259,"Microbe\, viral or environmental",287975945,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1317362,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL4535B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL4535B,DNA,SRP064605,REL4535B,2015-10-08T12:54:00Z,1
SRR2584836,WGS,36,605985696,PRJNA295606,SAMN04096260,"Microbe\, viral or environmental",402038068,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1317363,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL7188A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL7188A,DNA,SRP064605,REL7188A,2015-10-08T12:56:00Z,1
SRR2584837,WGS,36,325271268,PRJNA295606,SAMN04096261,"Microbe\, viral or environmental",245231763,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1317364,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL7188B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL7188B,DNA,SRP064605,REL7188B,2015-10-08T12:54:00Z,1
SRR2584838,WGS,36,347794344,PRJNA295606,SAMN04096262,"Microbe\, viral or environmental",259487277,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1317366,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL8605A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL8605A,DNA,SRP064605,REL8605A,2015-10-08T12:55:00Z,1
SRR2584839,WGS,36,393771168,PRJNA295606,SAMN04096263,"Microbe\, viral or environmental",294847386,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1317367,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL8605B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL8605B,DNA,SRP064605,REL8605B,2015-10-08T12:55:00Z,1
SRR2584840,WGS,36,498872592,PRJNA295606,SAMN04096264,"Microbe\, viral or environmental",372620115,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1317368,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL10417,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL10417,DNA,SRP064605,REL10417,2015-10-08T12:56:00Z,1
SRR2584841,WGS,36,561390408,PRJNA295606,SAMN04096067,"Microbe\, viral or environmental",376466068,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1317369,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL11830,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11830,DNA,SRP064605,REL11830,2015-10-08T12:57:00Z,1
SRR2584842,WGS,36,444967020,PRJNA295606,SAMN04096265,"Microbe\, viral or environmental",334220678,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1317370,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL10418,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL10418,DNA,SRP064605,REL10418,2015-10-08T12:56:00Z,1
SRR2584843,WGS,36,168805116,PRJNA295606,SAMN04096266,"Microbe\, viral or environmental",135240186,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1317371,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL10986,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL10986,DNA,SRP064605,REL10986,2015-10-08T12:56:00Z,1
SRR2584844,WGS,50,3243141265,PRJNA295606,SAMN04096267,"Microbe\, viral or environmental",2022174923,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1317372,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11370,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11370,DNA,SRP064605,REL11370,2015-10-08T13:19:00Z,1
SRR2584864,WGS,75,737162700,PRJNA295606,SAMN04096084,"Microbe\, viral or environmental",444269106,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1317391,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL11364,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11364,DNA,SRP064605,REL11364,2015-10-08T13:05:00Z,1
SRR2584927,WGS,50,4773224256,PRJNA295606,SAMN04096125,"Microbe\, viral or environmental",3129115754,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1317437,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11339,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11339,DNA,SRP064605,REL11339,2015-10-08T13:45:00Z,1
SRR2584407,WGS,50,2910248538,PRJNA295606,SAMN04096146,"Microbe\, viral or environmental",1790067358,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1317102,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11389,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11389,DNA,SRP064605,REL11389,2015-10-08T12:36:00Z,1
SRR2584408,WGS,36,199131732,PRJNA295606,SAMN04096147,"Microbe\, viral or environmental",122425754,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1317103,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL768A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL768A,DNA,SRP064605,REL768A,2015-10-08T12:21:00Z,1
SRR2584409,WGS,36,333874440,PRJNA295606,SAMN04096148,"Microbe\, viral or environmental",259495295,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1317104,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL768B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL768B,DNA,SRP064605,REL768B,2015-10-08T12:21:00Z,1
SRR2584410,WGS,36,167100084,PRJNA295606,SAMN04096149,"Microbe\, viral or environmental",148915146,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1317105,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL958A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL958A,DNA,SRP064605,REL958A,2015-10-08T12:20:00Z,1
SRR2584411,WGS,36,180299988,PRJNA295606,SAMN04096150,"Microbe\, viral or environmental",147325095,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1317112,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL958B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL958B,DNA,SRP064605,REL958B,2015-10-08T12:20:00Z,1
SRR2584438,WGS,36,194753160,PRJNA295606,SAMN04096151,"Microbe\, viral or environmental",156941557,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1317115,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1062A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1062A,DNA,SRP064605,REL1062A,2015-10-08T12:20:00Z,1
SRR2584462,WGS,36,192385152,PRJNA295606,SAMN04096152,"Microbe\, viral or environmental",158003148,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1317121,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1062B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1062B,DNA,SRP064605,REL1062B,2015-10-08T12:20:00Z,1
SRR2584463,WGS,36,309556476,PRJNA295606,SAMN04096153,"Microbe\, viral or environmental",224066977,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1317122,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1158A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1158A,DNA,SRP064605,REL1158A,2015-10-08T12:22:00Z,1
SRR2584464,WGS,36,321814404,PRJNA295606,SAMN04096154,"Microbe\, viral or environmental",234649681,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1317123,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1158C,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1158C,DNA,SRP064605,REL1158C,2015-10-08T12:23:00Z,1
SRR2584466,WGS,36,181166832,PRJNA295606,SAMN04096155,"Microbe\, viral or environmental",156302000,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1317125,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL2173A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL2173A,DNA,SRP064605,REL2173A,2015-10-08T12:22:00Z,1
SRR2584467,WGS,36,333116244,PRJNA295606,SAMN04096156,"Microbe\, viral or environmental",250821936,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1317126,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL2173B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL2173B,DNA,SRP064605,REL2173B,2015-10-08T12:25:00Z,1
SRR2584470,WGS,36,374435316,PRJNA295606,SAMN04096157,"Microbe\, viral or environmental",289579958,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1317129,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL4530A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL4530A,DNA,SRP064605,REL4530A,2015-10-08T12:25:00Z,1
